32	0,0,7;0,-2,-4;0,2,-4;0,-4,3;0,4,3;0,-6,-1;0,6,-1;-2,0,3;2,0,3;-2,-2,-3;-2,2,-3;2,-2,-3;2,2,-3;-2,-4,1;-2,4,1;2,-4,1;2,4,1
33	-10,0,1;-6,0,1;-6,-2,1;-6,2,1;-6,-6,1;-6,6,1;-8,0,-1;-8,-2,-1;-8,2,-1;-8,-4,-1;-8,4,-1
34	0,0,1;0,-2,-1;0,2,-1;2,0,2;2,-4,1;2,4,1;4,-2,-1;4,2,-1
35	2,0,-1;2,-2,2;2,2,2;4,0,-3;4,-2,1;4,2,1;4,-4,-1;4,4,-1;6,0,-1;6,-2,1;6,2,1
36	10,-2,-1;10,2,-1;10,-6,-1;10,6,-1;8,0,1;8,-4,1;8,4,1;8,-8,1;8,8,1
37	10,0,-1;2,0,-1;2,-2,1;2,2,1;4,0,-2;4,-2,1;4,2,1;6,0,-2;6,-2,1;6,2,1;8,0,-1;8,-2,1;8,2,1
38	-10,0,-1;-10,-4,-1;-10,4,-1;-6,0,-1;-6,-2,1;-6,2,1;-6,-4,-1;-6,4,-1;-6,-6,1;-6,6,1;-8,0,-1;-8,-2,2;-8,2,2;-8,-4,-1;-8,4,-1;-8,-6,1;-8,6,1
39	10,-2,-1;10,2,-1;4,0,1;4,-2,-1;4,2,-1;4,-4,1;4,4,1;6,0,2;6,-2,-2;6,2,-2;6,-4,1;6,4,1;8,0,2;8,-2,-1;8,2,-1;8,-4,1;8,4,1
40	-10,0,-1;-2,0,-2;-2,-2,1;-2,2,1;-4,0,-3;-4,-2,2;-4,2,2;-6,0,-3;-6,-2,2;-6,2,2;-8,0,-2;-8,-2,1;-8,2,1
41	10,0,-1;10,-2,1;10,2,1;10,-4,-1;10,4,-1;6,0,-1;6,-2,2;6,2,2;6,-4,-1;6,4,-1;6,-6,1;6,6,1;8,0,-3;8,-2,2;8,2,2;8,-4,-2;8,4,-2;8,-6,1;8,6,1
42	10,0,1;10,-2,-1;10,2,-1;4,0,2;4,-2,-1;4,2,-1;4,-4,1;4,4,1;6,0,3;6,-2,-3;6,2,-3;6,-4,1;6,4,1;8,0,3;8,-2,-2;8,2,-2;8,-4,1;8,4,1
43	0,0,-3;0,-2,2;0,2,2;0,-4,-1;0,4,-1;-2,0,-1;2,0,-4;-2,-2,1;-2,2,1;2,-2,3;2,2,3;2,-4,-1;2,4,-1;4,0,-2;4,-2,2;4,2,2;6,0,-1
44	10,0,-2;10,-2,1;10,2,1;10,-4,-1;10,4,-1;6,0,-2;6,-2,2;6,2,2;6,-4,-1;6,4,-1;6,-6,1;6,6,1;8,0,-3;8,-2,3;8,2,3;8,-4,-2;8,4,-2;8,-6,1;8,6,1
45	-10,-2,-1;-10,2,-1;-4,0,2;-4,-2,-2;-4,2,-2;-4,-4,1;-4,4,1;-6,0,4;-6,-2,-3;-6,2,-3;-6,-4,2;-6,4,2;-8,0,3;-8,-2,-2;-8,2,-2;-8,-4,1;-8,4,1
46	-2,0,1;-2,-2,-1;-2,2,-1;-2,-4,1;-2,4,1;-4,0,3;-4,-2,-3;-4,2,-3;-4,-4,2;-4,4,2;-4,-6,-1;-4,6,-1;-6,0,3;-6,-2,-2;-6,2,-2;-6,-4,2;-6,4,2;-8,-2,-1;-8,2,-1
47	0,0,-1;0,-2,1;0,2,1;2,0,-4;2,-2,3;2,2,3;2,-4,-1;2,4,-1;4,0,-5;4,-2,3;4,2,3;4,-4,-1;4,4,-1;6,0,-2;6,-2,2;6,2,2;8,0,-1
48	-10,0,1;-10,-2,-1;-10,2,-1;-4,0,2;-4,-2,-2;-4,2,-2;-4,-4,1;-4,4,1;-6,0,5;-6,-2,-3;-6,2,-3;-6,-4,2;-6,4,2;-8,0,3;-8,-2,-3;-8,2,-3;-8,-4,1;-8,4,1
49	0,0,5;0,-2,-3;0,2,-3;0,-4,1;0,4,1;2,0,2;-2,0,5;2,-2,-1;2,2,-1;-2,-2,-3;-2,2,-3;-2,-4,1;-2,4,1;-4,0,2;-4,-2,-2;-4,2,-2;-6,0,1
50	0,0,-1;0,-2,1;0,2,1;-2,0,-5;-2,-2,3;-2,2,3;-2,-4,-1;-2,4,-1;-4,0,-5;-4,-2,4;-4,2,4;-4,-4,-1;-4,4,-1;-6,0,-3;-6,-2,2;-6,2,2;-8,0,-1
51	-10,0,-2;-10,-2,2;-10,2,2;-10,-4,-1;-10,4,-1;-6,0,-2;-6,-2,3;-6,2,3;-6,-4,-1;-6,4,-1;-6,-6,1;-6,6,1;-8,0,-5;-8,-2,3;-8,2,3;-8,-4,-3;-8,4,-3;-8,-6,1;-8,6,1
52	0,0,-3;0,-2,2;0,2,2;0,-4,-2;0,4,-2;2,0,-4;-2,-2,1;-2,2,1;2,-2,4;2,2,4;2,-4,-2;2,4,-2;2,-6,1;2,6,1;4,0,-2;4,-2,2;4,2,2;4,-4,-1;4,4,-1
53	10,0,1;10,-2,-1;10,2,-1;4,0,3;4,-2,-2;4,2,-2;4,-4,1;4,4,1;6,0,5;6,-2,-4;6,2,-4;6,-4,2;6,4,2;8,0,4;8,-2,-3;8,2,-3;8,-4,1;8,4,1
54	0,0,6;0,-2,-4;0,2,-4;0,-4,1;0,4,1;-2,0,3;2,0,5;-2,-2,-2;-2,2,-2;2,-2,-3;2,2,-3;2,-4,1;2,4,1;-4,0,1;4,0,2;4,-2,-1;4,2,-1
55	2,0,2;2,-2,-1;2,2,-1;2,-4,1;2,4,1;4,0,4;4,-2,-4;4,2,-4;4,-4,2;4,4,2;4,-6,-1;4,6,-1;6,0,4;6,-2,-3;6,2,-3;6,-4,2;6,4,2;8,0,1;8,-2,-1;8,2,-1
56	0,0,-2;0,-2,1;0,2,1;-2,0,-5;-2,-2,4;-2,2,4;-2,-4,-1;-2,4,-1;-4,0,-6;-4,-2,4;-4,2,4;-4,-4,-1;-4,4,-1;-6,0,-3;-6,-2,2;-6,2,2;-8,0,-1
57	0,0,-4;0,-2,2;0,2,2;0,-4,-2;0,4,-2;-2,0,-4;2,-2,1;2,2,1;-2,-2,5;-2,2,5;-2,-4,-2;-2,4,-2;-2,-6,1;-2,6,1;-4,0,-3;-4,-2,2;-4,2,2;-4,-4,-1;-4,4,-1
58	10,0,2;10,-2,-1;10,2,-1;4,0,3;4,-2,-2;4,2,-2;4,-4,1;4,4,1;6,0,6;6,-2,-4;6,2,-4;6,-4,2;6,4,2;8,0,4;8,-2,-4;8,2,-4;8,-4,1;8,4,1
59	0,0,5;0,-2,-5;0,2,-5;0,-4,2;0,4,2;0,-6,-1;0,6,-1;-2,0,3;2,0,5;-2,-2,-2;-2,2,-2;2,-2,-2;2,2,-2;-2,-4,1;-2,4,1;2,-4,2;2,4,2;4,-2,-1;4,2,-1
60	0,0,-1;0,-2,1;0,2,1;2,0,-5;2,-2,4;2,2,4;2,-4,-1;2,4,-1;4,0,-7;4,-2,4;4,2,4;4,-4,-2;4,4,-2;6,0,-3;6,-2,3;6,2,3;8,0,-1
61	0,0,-2;0,-2,2;0,2,2;0,-4,-1;0,4,-1;-2,0,-5;-2,-2,5;-2,2,5;-2,-4,-2;-2,4,-2;-2,-6,1;-2,6,1;-4,0,-5;-4,-2,3;-4,2,3;-4,-4,-2;-4,4,-2;-6,0,-1;-6,-2,1;-6,2,1
62	0,0,6;0,-2,-5;0,2,-5;0,-4,2;0,4,2;0,-6,-1;0,6,-1;-2,0,3;2,0,5;-2,-2,-2;-2,2,-2;2,-2,-3;2,2,-3;-2,-4,1;-2,4,1;2,-4,2;2,4,2;4,0,1;4,-2,-1;4,2,-1
63	0,0,-3;0,-2,2;0,2,2;0,-4,-1;0,4,-1;2,0,-5;2,-2,6;2,2,6;2,-4,-2;2,4,-2;2,-6,1;2,6,1;4,0,-6;4,-2,3;4,2,3;4,-4,-2;4,4,-2;6,0,-1;6,-2,1;6,2,1
